sentence,label
An uplifting story told with great skill.,1
The plot makes no sense whatsoever.,0
"Warm, funny, and wonderfully observed.",1
The screenplay is sharp and witty.,1
A joyful and deeply moving experience.,1
The characters are thin and uninteresting.,0
A masterpiece of modern cinema.,1
The film never finds its footing.,0
Beautifully shot and emotionally resonant.,1
A refreshingly original premise.,1
The best ensemble cast of the year.,1
The script crackles with intelligence.,1
Painfully slow and deeply boring.,0
A disappointment in every sense.,0
The story goes nowhere interesting.,0
"Smart, funny, and surprisingly moving.",1
The director brings tremendous energy.,1
Poorly directed and badly edited.,0
The worst kind of lazy filmmaking.,0
One of the best films of the decade.,1
Poorly directed and badly edited.,0
The performances feel entirely phoned in.,0
The pacing drags terribly.,0
The worst kind of lazy filmmaking.,0
One of those rare films you never forget.,1
"Smart, funny, and surprisingly moving.",1
"Dull, lifeless, and completely forgettable.",0
Genuinely affecting and beautifully made.,1
The direction is assured and inventive.,1
The pacing is perfect throughout.,1
"Funny, touching, and brilliantly acted.",1
A confusing and joyless experience.,0
The plot makes no sense whatsoever.,0
The cinematography is breathtaking.,1
The characters are thin and uninteresting.,0
A bold and confident piece of work.,1
One of those rare films you never forget.,1
The pacing drags terribly.,0
The worst kind of lazy filmmaking.,0
A joyful and deeply moving experience.,1
Poorly directed and badly edited.,0
A pointless exercise in style over substance.,0
Painfully slow and deeply boring.,0
An incoherent and frustrating film.,0
"Funny, touching, and brilliantly acted.",1
The direction is assured and inventive.,1
"Smart, funny, and surprisingly moving.",1
A film that fails on every level.,0
The direction is assured and inventive.,1
The performances are absolutely riveting.,1
The jokes fall completely flat.,0
A generous and life-affirming film.,1
Genuinely affecting and beautifully made.,1
The script crackles with intelligence.,1
The acting is stiff and unconvincing.,0
Nothing here that hasn't been done better.,0
One of the best films of the decade.,1
The pacing is perfect throughout.,1
The script crackles with intelligence.,1
Poorly directed and badly edited.,0
A complete waste of time and talent.,0
A film that stays with you long after.,1
"Smart, funny, and surprisingly moving.",1
The acting is stiff and unconvincing.,0
The chemistry between the leads is electric.,1
The director brings tremendous energy.,1
An absolute delight from start to finish.,1
Nothing here that hasn't been done better.,0
A chore to sit through.,0
An uplifting story told with great skill.,1
A bold and confident piece of work.,1
A joyful and deeply moving experience.,1
A disappointment in every sense.,0
The plot makes no sense whatsoever.,0
The director brings tremendous energy.,1
The chemistry between the leads is electric.,1
The director brings tremendous energy.,1
A laborious and punishing sit.,0
Tedious and utterly forgettable.,0
An incoherent and frustrating film.,0
A masterpiece of modern cinema.,1
The screenplay is sharp and witty.,1
"Funny, touching, and brilliantly acted.",1
A triumph of storytelling.,1
The film earns every emotional beat.,1
A joyful and deeply moving experience.,1
The director brings tremendous energy.,1
The worst kind of lazy filmmaking.,0
A bold and confident piece of work.,1
A joyful and deeply moving experience.,1
A joyful and deeply moving experience.,1
The performances feel entirely phoned in.,0
An uplifting story told with great skill.,1
A disappointment in every sense.,0
A mess from beginning to end.,0
A laborious and punishing sit.,0
The direction is assured and inventive.,1
A mess from beginning to end.,0
Genuinely affecting and beautifully made.,1
The performances feel entirely phoned in.,0
One of the best films of the decade.,1
Painfully slow and deeply boring.,0
The film earns every emotional beat.,1
"Warm, funny, and wonderfully observed.",1
An emotionally rewarding journey.,1
A refreshingly original premise.,1
The film squanders a promising idea.,0
The performances are absolutely riveting.,1
A disappointment in every sense.,0
The story goes nowhere interesting.,0
The plot makes no sense whatsoever.,0
A complete waste of time and talent.,0
The characters are thin and uninteresting.,0
A pointless exercise in style over substance.,0
A confusing and joyless experience.,0
"Dull, lifeless, and completely forgettable.",0
The chemistry between the leads is electric.,1
A disappointment in every sense.,0
"Dull, lifeless, and completely forgettable.",0
Nothing here that hasn't been done better.,0
The story goes nowhere interesting.,0
An emotionally rewarding journey.,1
An absolute delight from start to finish.,1
One of the best films of the decade.,1
One of those rare films you never forget.,1
A confusing and joyless experience.,0
An uplifting story told with great skill.,1
The chemistry between the leads is electric.,1
The performances feel entirely phoned in.,0
An unpleasant and unrewarding film.,0
The film squanders a promising idea.,0
The film earns every emotional beat.,1
A masterpiece of modern cinema.,1
"Dull, lifeless, and completely forgettable.",0
"Funny, touching, and brilliantly acted.",1
The pacing drags terribly.,0
Genuinely affecting and beautifully made.,1
A joyful and deeply moving experience.,1
"Flat, predictable, and dull.",0
A refreshingly original premise.,1
A mess from beginning to end.,0
The acting is stiff and unconvincing.,0
A bold and confident piece of work.,1
The jokes fall completely flat.,0
An incoherent and frustrating film.,0
A stunning achievement in filmmaking.,1
The acting is stiff and unconvincing.,0
The plot makes no sense whatsoever.,0
The pacing is perfect throughout.,1
An absolute delight from start to finish.,1
A refreshingly original premise.,1
An uplifting story told with great skill.,1
Painfully slow and deeply boring.,0
A chore to sit through.,0
Painfully slow and deeply boring.,0
A chore to sit through.,0
The pacing drags terribly.,0
The dialogue is clunky and awkward.,0
The plot makes no sense whatsoever.,0
The characters are thin and uninteresting.,0
An incoherent and frustrating film.,0
"Flat, predictable, and dull.",0
A film that fails on every level.,0
The plot makes no sense whatsoever.,0
A film that stays with you long after.,1
A generous and life-affirming film.,1
The best ensemble cast of the year.,1
The plot makes no sense whatsoever.,0
The best ensemble cast of the year.,1
One of those rare films you never forget.,1
A confusing and joyless experience.,0
Beautifully shot and emotionally resonant.,1
Interminable and deeply unpleasant.,0
The script is a total disaster.,0
A laborious and punishing sit.,0
An emotionally rewarding journey.,1
An unpleasant and unrewarding film.,0
The cast delivers outstanding work.,1
An uplifting story told with great skill.,1
A pointless exercise in style over substance.,0
Genuinely affecting and beautifully made.,1
"Warm, funny, and wonderfully observed.",1
An uplifting story told with great skill.,1
The screenplay is sharp and witty.,1
The pacing drags terribly.,0
A rare film that gets everything right.,1
A confusing and joyless experience.,0
A film that stays with you long after.,1
The film never finds its footing.,0
A masterpiece of modern cinema.,1
The pacing drags terribly.,0
An emotionally rewarding journey.,1
A confusing and joyless experience.,0
The performances are absolutely riveting.,1
A rare film that gets everything right.,1
The script is a total disaster.,0
A refreshingly original premise.,1
"Warm, funny, and wonderfully observed.",1
Tedious and utterly forgettable.,0
A triumph of storytelling.,1
The dialogue is clunky and awkward.,0
An uplifting story told with great skill.,1
A chore to sit through.,0
The film earns every emotional beat.,1
The film squanders a promising idea.,0
The pacing drags terribly.,0
A stunning achievement in filmmaking.,1
A laborious and punishing sit.,0
A generous and life-affirming film.,1
A joyful and deeply moving experience.,1
The performances feel entirely phoned in.,0
Painfully slow and deeply boring.,0
The cinematography is breathtaking.,1
A bold and confident piece of work.,1
A complete waste of time and talent.,0
A laborious and punishing sit.,0
Tedious and utterly forgettable.,0
The director brings tremendous energy.,1
The direction is assured and inventive.,1
"Funny, touching, and brilliantly acted.",1
Interminable and deeply unpleasant.,0
The jokes fall completely flat.,0
An uplifting story told with great skill.,1
One of the best films of the decade.,1
Poorly directed and badly edited.,0
Painfully slow and deeply boring.,0
Painfully slow and deeply boring.,0
Interminable and deeply unpleasant.,0
The director brings tremendous energy.,1
A masterpiece of modern cinema.,1
The acting is stiff and unconvincing.,0
"Funny, touching, and brilliantly acted.",1
The direction is assured and inventive.,1
An unpleasant and unrewarding film.,0
The script crackles with intelligence.,1
Genuinely affecting and beautifully made.,1
A joyful and deeply moving experience.,1
An unpleasant and unrewarding film.,0
A film that stays with you long after.,1
A chore to sit through.,0
A chore to sit through.,0
The characters are thin and uninteresting.,0
The film squanders a promising idea.,0
The cast delivers outstanding work.,1
The film squanders a promising idea.,0
Painfully slow and deeply boring.,0
The performances feel entirely phoned in.,0
Nothing here that hasn't been done better.,0
The director brings tremendous energy.,1
A triumph of storytelling.,1
The worst kind of lazy filmmaking.,0
A laborious and punishing sit.,0
Nothing here that hasn't been done better.,0
The screenplay is sharp and witty.,1
The screenplay is sharp and witty.,1
The script is a total disaster.,0
A complete waste of time and talent.,0
The performances feel entirely phoned in.,0
A confusing and joyless experience.,0
A confusing and joyless experience.,0
An incoherent and frustrating film.,0
The film earns every emotional beat.,1
The film never finds its footing.,0
An unpleasant and unrewarding film.,0
A rare film that gets everything right.,1
The worst kind of lazy filmmaking.,0
The director brings tremendous energy.,1
The direction is assured and inventive.,1
The film squanders a promising idea.,0
The script is a total disaster.,0
The director brings tremendous energy.,1
The film earns every emotional beat.,1
The worst kind of lazy filmmaking.,0
The pacing drags terribly.,0
A bold and confident piece of work.,1
A mess from beginning to end.,0
A stunning achievement in filmmaking.,1
An emotionally rewarding journey.,1
The cinematography is breathtaking.,1
Tedious and utterly forgettable.,0
One of those rare films you never forget.,1
The film never finds its footing.,0
The director brings tremendous energy.,1
The screenplay is sharp and witty.,1
A refreshingly original premise.,1
"Flat, predictable, and dull.",0
A generous and life-affirming film.,1
The story goes nowhere interesting.,0
Beautifully shot and emotionally resonant.,1
"Warm, funny, and wonderfully observed.",1
The director brings tremendous energy.,1
One of the best films of the decade.,1
The best ensemble cast of the year.,1
The best ensemble cast of the year.,1
A triumph of storytelling.,1
An unpleasant and unrewarding film.,0
A stunning achievement in filmmaking.,1
The screenplay is full of clichés.,0
The cast delivers outstanding work.,1
The best ensemble cast of the year.,1
An unpleasant and unrewarding film.,0
The jokes fall completely flat.,0
The film squanders a promising idea.,0
A refreshingly original premise.,1
A generous and life-affirming film.,1
The film earns every emotional beat.,1
A film that stays with you long after.,1
Tedious and utterly forgettable.,0
A joyful and deeply moving experience.,1
A refreshingly original premise.,1
"Warm, funny, and wonderfully observed.",1
An unpleasant and unrewarding film.,0
A laborious and punishing sit.,0
A pointless exercise in style over substance.,0
An uplifting story told with great skill.,1
A mess from beginning to end.,0
One of the best films of the decade.,1
"Flat, predictable, and dull.",0
The dialogue is clunky and awkward.,0
The film squanders a promising idea.,0
A confusing and joyless experience.,0
An absolute delight from start to finish.,1
The film never finds its footing.,0
The film earns every emotional beat.,1
Beautifully shot and emotionally resonant.,1
An uplifting story told with great skill.,1
An emotionally rewarding journey.,1
The pacing is perfect throughout.,1
Beautifully shot and emotionally resonant.,1
A mess from beginning to end.,0
One of the best films of the decade.,1
One of the best films of the decade.,1
A laborious and punishing sit.,0
The cinematography is breathtaking.,1
A chore to sit through.,0
Beautifully shot and emotionally resonant.,1
The jokes fall completely flat.,0
A film that fails on every level.,0
The performances feel entirely phoned in.,0
The direction is assured and inventive.,1
A bold and confident piece of work.,1
The chemistry between the leads is electric.,1
The jokes fall completely flat.,0
A triumph of storytelling.,1
The film never finds its footing.,0
A bold and confident piece of work.,1
Genuinely affecting and beautifully made.,1
The cast delivers outstanding work.,1
A bold and confident piece of work.,1
The worst kind of lazy filmmaking.,0
An absolute delight from start to finish.,1
The story goes nowhere interesting.,0
A laborious and punishing sit.,0
An emotionally rewarding journey.,1
Nothing here that hasn't been done better.,0
Tedious and utterly forgettable.,0
A refreshingly original premise.,1
The acting is stiff and unconvincing.,0
A laborious and punishing sit.,0
The direction is assured and inventive.,1
A stunning achievement in filmmaking.,1
The cast delivers outstanding work.,1
A stunning achievement in filmmaking.,1
The plot makes no sense whatsoever.,0
The plot makes no sense whatsoever.,0
A generous and life-affirming film.,1
A complete waste of time and talent.,0
A joyful and deeply moving experience.,1
The script is a total disaster.,0
The chemistry between the leads is electric.,1
A film that fails on every level.,0
The acting is stiff and unconvincing.,0
The director brings tremendous energy.,1
A pointless exercise in style over substance.,0
A film that fails on every level.,0
An absolute delight from start to finish.,1
A film that stays with you long after.,1
A masterpiece of modern cinema.,1
A disappointment in every sense.,0
The screenplay is sharp and witty.,1
Genuinely affecting and beautifully made.,1
The best ensemble cast of the year.,1
The cinematography is breathtaking.,1
Nothing here that hasn't been done better.,0
Painfully slow and deeply boring.,0
The script crackles with intelligence.,1
Tedious and utterly forgettable.,0
The director brings tremendous energy.,1
A film that stays with you long after.,1
"Dull, lifeless, and completely forgettable.",0
A bold and confident piece of work.,1
The pacing is perfect throughout.,1
Tedious and utterly forgettable.,0
"Smart, funny, and surprisingly moving.",1
An absolute delight from start to finish.,1
A joyful and deeply moving experience.,1
The best ensemble cast of the year.,1
The film never finds its footing.,0
The director brings tremendous energy.,1
A masterpiece of modern cinema.,1
The screenplay is full of clichés.,0
