description,variety,country,price,points
"Exceedingly fresh and fragrant, this has medium structure, with bright stone fruit and citrus aromas. It should pair with smoked salmon or tuna tartare.",Pinot Grigio,Italy,15.0,87
"Here's a cheerful and bright Prosecco that delivers enticing aromas of dried hay, field flower, peach and light lemon zest. Tonic, lively bubbling would match fried finger foods.",Glera,Italy,23.0,87
"Pretty cranberry and light red berry fruits are swathed in a decidedly herbal, earthy blanket. Nothing is over-matched however, as all these 2012 Winderlea Pinots show perfect balance. The finish brings a light dusting of cocoa.",Pinot Noir,US,48.0,89
"There's 3% each of Grenache and Petite Sirah in this wine that is quite ripe and straightforward in its fruity waves of blackberry, cherry and oaky chocolate. Firm tannins don't overwhelm, opting instead to support and structure. Black pepper leaves a lasting impression on the finish.",Zinfandel,US,25.0,87
"The third vintage of Mith is the best yet, composed of fruit from three top-notch Walla Walla vineyards. It's two thirds Cabernet Sauvignon and one third Syrah. The wine opens seductively with luscious blueberry, blackberry and black cherry fruit, wrapped in sexy layers of earth and herb. Whiffs of smoke lead into a silky smooth, chocolaty finish.",Red Blend,US,40.0,91
"This Nero d'Avola opens with ripe plum, black-skinned berry and vanilla aromas. The medium-bodied palate shows blackberry jam, espresso and tobacco flavors while close-grained tannins give the finish grip. Drink 2018–2022.",Nero d'Avola,Italy,23.0,88
"Aromas of blackberry, fennel bulb and smoke set the scene for flavors of cherry, raspberry, chocolate and tobacco leaf. Mellow but ever-apparent tannins ply the palate alongside a strong bolt of acidity that tapers off into a pomegranate-imbued finish.",Bordeaux-style Red Blend,Israel,80.0,90
"A little harsh in the mouth, with minty, peppery flavors and tart acids, but you'll find enough cherry and cola flavor to satisfy, and the structure is silky and light.",Pinot Noir,US,22.0,85
"Casalino's Brunello is a dark, pleasurable wine enhanced by warm richness, mineral notes, toasted almond and sweet black cherry. The general smoothness and fullness of the texture is what sets this wine apart.",Sangiovese Grosso,Italy,43.0,92
This wine comes from the heart of the Dão region. It is firm and dark with tannins and a concentrated texture. Fine acidity cuts through the black-fruit character. The wine is ready to drink.,Portuguese Red,Portugal,6.0,87
"Flint, orange blossom and Mediterranean herb aromas take center stage. The palate offers grapefruit, lemon-lime, nectarine, peach and mineral alongside crisp acidity. It finishes bright and clean.",Greco,Italy,28.0,89
"Heady aromas of citrus blossom, tropical fruit and yellow stone fruit lead the way. The fresh, enjoyable palate doles out apricot, pineapple, nectarine and a hint of chopped herb alongside lively acidity.",White Blend,Italy,25.0,91
"Pale in color, this ripe, perfumed wine is packed with red fruits. It is smooth, rich and only lightly textured with a tannic character. It conveys a nervy, mineral-textured aftertaste.",Rosé,France,14.0,88
"Plush and supple, this is an easy-drinking blend of Dornfelder, Portugieser, Merlot and Cabernet Sauvignon. It's a soft, juicy wine full of primary black cherry and berry flavors, without even a whisper of tannins, but enjoyable for uncomplicated, immediate consumption.",Red Blend,Germany,14.0,85
"Made with 88% Sangiovese, 10% Merlot and 2% Alicante, this opens with whiffs of violet and tilled earth. The simple palate offers red cherry and clove alongside soft tannins. Enjoy soon.",Red Blend,Italy,15.0,86
Sweet aromas and flavors of peach and lychee are accented by a hint of fresh rose petals. A soft spritz in the mouth cleans up the finish. Drink now.,Moscato,South Africa,5.0,83
"Vanilla, coconut and toast aromas are vibrant and out-front, followed by tropical fruit. This wine is full bodied with a viscous, almost oily feel that persists through the finish. It offers some good things, but the variety gets lost in the style.",Chardonnay,US,30.0,87
"Dynamic on the nose, this late-harvest wine, which was subjected to botrytis, shows concentrated honey syrup, cement-like minerality, Key lime pith and a petrol character. The palate delivers a lot of energy and tension, with lime zest cutting across concentrated apple flavors.",Riesling,US,32.0,91
"This red combines Merlot and Cabernet Sauvignon to create black currant and Mediterranean herb aromas. The easygoing, approachable palate shows black cherry and dark spice flavors, framed by polished tannins. Enjoy soon.",Red Blend,Italy,25.0,88
"Minerally aromas of crushed stone, schist and red-berry fruits feed into a tight palate with an iron grip. Plum, raspberry, cherry and cassis flavors cover the full spectrum of red fruits, while a chalky, minerally finish confirms the wine's intensity and structure. Drink through 2022.",Red Blend,Spain,40.0,91
"Soft and fruity, with raspberry, cherry, Dr. Pepper and oak flavors. It has the jammy, marmalade taste of freshly crushed berries, with citrusy acidity. The oak is front and center. Might develop with a few years in the bottle.",Pinot Noir,US,44.0,87
"After helping Liquid Farm launch to Chardonnay success, the Dragonette crew took their own stab at making the white grape, and have succeeded wildly. Extremely pithy aromas of lime and yellow grapefruit meet with yogurt, kiwi and chive on the zesty nose, which unleashes a citrus explosion once sipped of lime peels, tangerine flesh and skin, and yellow apples in the midpalate.",Chardonnay,US,60.0,93
"This red blend commences with aromas of red currant, black berries, spice and blue flower. The spicy palate delivers black pepper, nutmeg, sour cherry and ripe raspberry sensations that are restrained by fresh acidity and bracing tannins. Hold for complexity. Drink 2015–2021. Trilussa Wine, J.W. Sieg Wines.",Red Blend,Italy,45.0,91
"One of Portugal's greatest white grapes is showcased in rich glory here. It has floral aromas, tropical fruits and melon flavors and a generous rich aftertaste that is balanced by tense acidity. There are touches of vanilla and almonds to add complexity. The wine is ready to drink.",Encruzado,Portugal,15.0,90
"A beguiling wine with notes of green apple, slate and botrytis. It drinks off dry with tart, mouthwatering acidity. The concentration isn't all there throughout but there is still much to enjoy.",Riesling,US,21.0,88
Bright aromas of macerated cranberries and maraschino cherries along with vanilla and wood spice accents are followed by tart and appealing fruit flavors. The oak gets a bit too prominent.,Barbera,US,28.0,86
"From the estate, in the Pritchard Hill area of St. Helena which is worthy of its own appellation, comes this densely structured, impressive but young wine. It's massive in fruity extract and new oak, flooding the mouth with soft, ultrarich flavors of blackberries and dark chocolate and a leathery, peppery, grilled meat quality. This is the kind of wine even a non-red wine drinker will be dazzled by, and connoisseurs will appreciate its power and finesse. Ready now for sheer opulence, and should develop through 2012, at least.",Red Blend,US,290.0,94
"The aromas of woodspice, vanilla and cedar are primary at present on this wine that seems initially closed on the nose. The palate is more vibrant, with cranberry and cherry flavors framed by a tart lick of acidity. Its best days in front of it. Drink after 2021.",Cabernet Sauvignon,US,50.0,91
"A lovely Zinfandel, light and fine in the mouth, like liquid silk. Although it's dry, it's very rich in raspberry jam, cherry pie and rose flavors, and there's also a lot of those famous Dry Creek briary spices. Good price for such a nice wine.",Zinfandel,US,18.0,88
"A blend of five diverse red grapes, this lightly fruity quaffer is almost invisible as far as flavor is concerned. It hits the tongue and vanishes.",Red Blend,US,17.0,80
"A big letdown after the 2009, this is a simple, rustic wine. It's dry and acidic, with thin berry, herb and spice flavors.",Cabernet Sauvignon,US,12.0,82
"Green apple and greengage on the nose turn into white peach and lemon on the palate. The mousse is frothy and lively and there is a wonderful depth to these tart fruit flavors that takes you to juicy, green pastures and white blossom. Glints of green apple flash at every corner and adorn the admirably dry finish. This echoes long and leaves the palate wonderfully clean.",Sparkling Blend,England,35.0,91
"Herbal aromas infiltrate the nose, and the palate features midlevel red fruit with a strong herbal edge. The finish shows saline, chocolate and pepper, and never does it rise much above struggling.",Cabernet Sauvignon,Argentina,11.0,82
"An aromatic mélange of lemon custard, apple pie and salted caramel intrigue your nose while crisp flavors of lemon rind, citrus zest and grapefruit delight your palate. Pair this wine with freshly shucked oysters on a warm summer's day.",Malvasia,Croatia,18.0,90
"This estate bottling showcases ripe apple and melon fruit, spiced with sweet barrel notes and toast. The wine spent some months in 20% new French oak.",Chardonnay,US,28.0,90
"This wine is crisp and deliciously fruity. With bright acidity, apple and citrus flavors and a strong mineral texture, it is ready to drink.",Chardonnay,France,16.0,86
"Yeasty, fresh-baked bread aromas, followed by an impressively fresh wine full of white fruits; white currants and pink grapefruit follow on the palate. It's well rounded with a soft aftertaste and well-balanced acidity, but there's no sign of maturity yet.",Champagne Blend,France,120.0,91
"A to Z has almost doubled production of this wine, without a hitch in quality. Floral and citrus components gather strength and roll into ripe tropical flavors: juicy Fruit gum, papaya and melon. It's absolutely yummy and a can't miss value.",Riesling,US,15.0,92
"With forward pineapple jam, apricot, buttered toast, vanilla and smoky oak flavors, this will satisfy Chard lovers. It's dry, with a creamy mouthfeel.",Chardonnay,US,20.0,86
"Chunky and clunky on the nose, and unlike previous vintages, this one requires more patience and a willingness to overlook some flaws. For starters, the wine has a milky nose. It's frankly gaseous and bretty. But give it time to unwind and blackberry and standard plum flavors step in. The finish is easygoing, but all along there's a narrowness to it. Good but not as good as in the past.",Bonarda,Argentina,11.0,84
"Admittedly it's a bit late to be reviewing this 2005 Verdejo, but it's still fairly vital as it shows waxy citrus aromas in front of plump but anonymous white fruit. Still hanging in there with some persistence and mouthfeel, but get at it right away.",Verdejo,Spain,12.0,85
"Deep color, vivid oak, smoky aromas, and rich clove and blackberry flavors. It's full bodied, smoothly tannic in texture and has a lingering finish.",Cabernet Sauvignon,US,15.0,88
"A white currant-flavored wine with soft but fresh acidity, layered with just a touch of spice. The wine is fruity, juicy, an easy drink as an aperitif or with fish.",Colombard-Sauvignon Blanc,France,9.0,84
"Lake County producer Chacewater has made a pleasant, refreshing rosé from 100% Syrah. It's dark in color, with tastes of watermelon, ripe peach and tropical fruit. Intensely textured and full bodied in mouthfeel, it emphasizes its flavors through to the finish.",Rosé,US,15.0,86
"Dry while also fruity, this is crisply textured and crisp to taste. Red-currant and orange-zest flavors blend well with a mineral texture to leave a clean, deliciously fruity aftertaste.",Champagne Blend,France,49.0,90
"Red berry, pressed violet, tilled earth and new leather are some of the aromas you'll find on this. On the concentrated palate, notes of licorice, clove and tobacco accent a core of black cherry set against a backbone of firm fine-grained tannins. A coffee note wraps up the finish.",Sangiovese,Italy,65.0,92
"Earthy and leathery, this medium-bodied, ripe varietal wine dabbles in vanilla, blueberry and coffee cake aromas and flavors, finishing with a welcome softness.",Petite Sirah,US,32.0,88
"This is an expressive rendition of Malvasia Bianca with long, mineral flavors and cheerful notes of peach, banana and apricot. You could pair this wine with Thai or Chinese dishes.",Malvasia Bianca,Italy,20.0,86
